id,sweaterNumber,headshot,teamAbbrev,teamLogo,position,value,firstName.default,lastName.default,teamName.default,lastName.cs,lastName.fi,lastName.sk,firstName.cs,firstName.fi,firstName.sk,teamName.fr,firstName.de,firstName.es,firstName.sv,lastName.sv,firstName.fr,lastName.de,lastName.es
8480796,42,https://assets.nhle.com/mugs/nhl/20242025/WSH/8480796.png,WSH,https://assets.nhle.com/logos/nhl/svg/WSH_secondary_light.svg,D,1,Martin,Fehervary,Capitals,Fehérváry,,Fehérváry,,,,,,,,,,,
8476312,42,https://assets.nhle.com/mugs/nhl/20242025/COL/8476312.png,COL,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,D,1,Josh,Manson,Avalanche,,,,,,,,,,,,,,
8483808,96,https://assets.nhle.com/mugs/nhl/20242025/CGY/8483808.png,CGY,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg,L,1,Andrei,Kuzmenko,Flames,,,,Andrej,,Andrej,,,,,,,,
8478911,3,https://assets.nhle.com/mugs/nhl/20242025/WSH/8478911.png,WSH,https://assets.nhle.com/logos/nhl/svg/WSH_secondary_light.svg,D,1,Matt,Roy,Capitals,,,,,,,,,,,,,,
8475233,58,https://assets.nhle.com/mugs/nhl/20242025/MTL/8475233.png,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,D,1,David,Savard,Canadiens,,,,,,,,,,,,,,
8475462,7,https://assets.nhle.com/mugs/nhl/20242025/ANA/8475462.png,ANA,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg,D,1,Radko,Gudas,Ducks,,,,,,,,,,,,,,
8479425,17,https://assets.nhle.com/mugs/nhl/20242025/VAN/8479425.png,VAN,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,D,1,Filip,Hronek,Canucks,,,,,,,,,,,,,,
8479996,19,https://assets.nhle.com/mugs/nhl/20242025/PIT/8479996.png,PIT,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,C,1,Cody,Glass,Penguins,,,,,,,,,,,,,,
8470600,22,https://assets.nhle.com/mugs/nhl/20242025/STL/8470600.png,STL,https://assets.nhle.com/logos/nhl/svg/STL_light.svg,D,1,Ryan,Suter,Blues,,,,,,,,,,,,,,
8481708,6,https://assets.nhle.com/mugs/nhl/20242025/NYR/8481708.png,NYR,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,D,1,Zac,Jones,Rangers,,,,,,,,,,,,,,
8482700,42,https://assets.nhle.com/mugs/nhl/20242025/CHI/8482700.png,CHI,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg,D,1,Nolan,Allan,Blackhawks,,,,,,,,,,,,,,
8476331,2,https://assets.nhle.com/mugs/nhl/20242025/WPG/8476331.png,WPG,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,D,1,Dylan,DeMelo,Jets,Demelo,Demelo,Demelo,,,,,,,,Demelo,,Demelo,
8479378,64,https://assets.nhle.com/mugs/nhl/20242025/WPG/8479378.png,WPG,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,D,1,Logan,Stanley,Jets,,,,,,,,,,,,,,
8477488,22,https://assets.nhle.com/mugs/nhl/20242025/NJD/8477488.png,NJD,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,D,1,Brett,Pesce,Devils,,,,,,,,,,,,,,
8479982,25,https://assets.nhle.com/mugs/nhl/20242025/TOR/8479982.png,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,D,1,Conor,Timmins,Maple Leafs,,,,,,,,,,,,,,
8475279,8,https://assets.nhle.com/mugs/nhl/20242025/DET/8475279.png,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,D,1,Ben,Chiarot,Red Wings,,,,,,,,,,,,,,
8481161,2,https://assets.nhle.com/mugs/nhl/20242025/CBJ/8481161.png,CBJ,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,D,1,Jake,Christiansen,Blue Jackets,,,,,,,,,,v,,,,
8482624,62,https://assets.nhle.com/mugs/nhl/20242025/CGY/8482624.png,CGY,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg,D,1,Daniil,Miromanov,Flames,,,,,,,,,,,,,,
8473507,46,https://assets.nhle.com/mugs/nhl/20242025/DET/8473507.png,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,D,1,Jeff,Petry,Red Wings,,,,,,,,,,,,,,
8480281,13,https://assets.nhle.com/mugs/nhl/20242025/STL/8480281.png,STL,https://assets.nhle.com/logos/nhl/svg/STL_light.svg,R,1,Alexey,Toropchenko,Blues,Toropčenko,Toroptshenko,Toropčenko,Alexej,Aleksei,Alexej,,Alexei,Alexei,Alexei,,,,
8477369,7,https://assets.nhle.com/mugs/nhl/20242025/VAN/8477369.png,VAN,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,D,1,Carson,Soucy,Canucks,,,,,,,,,,,,,,
8480172,84,https://assets.nhle.com/mugs/nhl/20242025/SJS/8480172.png,SJS,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,D,1,Jan,Rutta,Sharks,,,,,,,,,,,,,,
8483768,90,https://assets.nhle.com/mugs/nhl/20242025/NYR/8483768.png,NYR,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,D,1,Victor,Mancini,Rangers,,,,,,,,,,,,,,
8481592,22,https://assets.nhle.com/mugs/nhl/20242025/CGY/8481592.png,CGY,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg,L,1,Jakob,Pelletier,Flames,,,,,,,,,,,,,,
8474166,25,https://assets.nhle.com/mugs/nhl/20242025/CHI/8474166.png,CHI,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg,D,1,Alec,Martinez,Blackhawks,,,,,,,,,,,,,,
8482126,36,https://assets.nhle.com/mugs/nhl/20242025/PHI/8482126.png,PHI,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg,D,1,Emil,Andrae,Flyers,,,,,,,,,,,,,,
8479421,43,https://assets.nhle.com/mugs/nhl/20242025/LAK/8479421.png,LAK,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg,D,1,Jacob,Moverare,Kings,,,,,,,,,,,,,,
8483448,36,https://assets.nhle.com/mugs/nhl/20242025/NYI/8483448.png,NYI,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg,D,1,Isaiah,George,Islanders,,,,,,,,,,,,,,
8479336,91,https://assets.nhle.com/mugs/nhl/20242025/SJS/8479336.png,SJS,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,R,1,Carl,Grundstrom,Sharks,Grundström,Grundström,Grundström,,,,,,,,Grundström,,,
8477931,92,https://assets.nhle.com/mugs/nhl/20242025/FLA/8477931.png,FLA,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,L,1,Tomas,Nosek,Panthers,,,,Tomáš,,Tomáš,,,,,,,,
8478585,10,https://assets.nhle.com/mugs/nhl/20242025/EDM/8478585.png,EDM,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg,C,1,Derek,Ryan,Oilers,,,,,,,,,,,,,,
8475718,3,https://assets.nhle.com/mugs/nhl/20242025/DET/8475718.png,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,D,1,Justin,Holl,Red Wings,,,,,,,,,,,,,,
