id,sweaterNumber,headshot,teamAbbrev,teamLogo,position,value,firstName.default,lastName.default,teamName.default,lastName.cs,lastName.fi,lastName.sk,lastName.sv,firstName.cs,firstName.sk,firstName.fi,teamName.fr
8471734,32,https://assets.nhle.com/mugs/nhl/20242025/NYR/8471734.png,NYR,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,G,6,Jonathan,Quick,Rangers,,,,,,,,
8479193,1,https://assets.nhle.com/mugs/nhl/20242025/DAL/8479193.png,DAL,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg,G,6,Casey,DeSmith,Stars,,,,,,,,
8475831,31,https://assets.nhle.com/mugs/nhl/20242025/SEA/8475831.png,SEA,https://assets.nhle.com/logos/nhl/svg/SEA_light.svg,G,5,Philipp,Grubauer,Kraken,,,,,,,,
8474596,34,https://assets.nhle.com/mugs/nhl/20242025/NJD/8474596.png,NJD,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,G,5,Jake,Allen,Devils,,,,,,,,
8475809,41,https://assets.nhle.com/mugs/nhl/20242025/COL/8475809.png,COL,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,G,5,Scott,Wedgewood,Avalanche,,,,,,,,
8477992,31,https://assets.nhle.com/mugs/nhl/20242025/TBL/8477992.png,TBL,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,G,5,Jonas,Johansson,Lightning,,,,,,,,
8478905,82,https://assets.nhle.com/mugs/nhl/20242025/PHI/8478905.png,PHI,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg,G,4,Ivan,Fedotov,Flyers,,,,,,,,
8482783,35,https://assets.nhle.com/mugs/nhl/20242025/PHI/8482783.png,PHI,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg,G,4,Aleksei,Kolosov,Flyers,,,,,Alexej,Alexej,,
8476341,31,https://assets.nhle.com/mugs/nhl/20242025/OTT/8476341.png,OTT,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,G,4,Anton,Forsberg,Senators,,,,,,,,Sénateurs
8482447,1,https://assets.nhle.com/mugs/nhl/20242025/OTT/8482447.png,OTT,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,G,4,Leevi,Merilainen,Senators,,,,,,,,Sénateurs
8474682,34,https://assets.nhle.com/mugs/nhl/20242025/CAR/8474682.png,CAR,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,G,4,Dustin,Tokarski,Hurricanes,,,,,,,,
8473575,40,https://assets.nhle.com/mugs/nhl/20242025/NYI/8473575.png,NYI,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg,G,3,Semyon,Varlamov,Islanders,,,,,Semjon,Semjon,Semjon,
8482137,30,https://assets.nhle.com/mugs/nhl/20242025/SJS/8482137.png,SJS,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,G,3,Yaroslav,Askarov,Sharks,,,,,,,,
8477970,41,https://assets.nhle.com/mugs/nhl/20242025/SJS/8477970.png,SJS,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,G,3,Vitek,Vanecek,Sharks,Vaněček,,Vaněček,,,,,
8480193,40,https://assets.nhle.com/mugs/nhl/20242025/CBJ/8480193.png,CBJ,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,G,3,Daniil,Tarasov,Blue Jackets,,,,,,,,
8477480,1,https://assets.nhle.com/mugs/nhl/20242025/WPG/8477480.png,WPG,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,G,3,Eric,Comrie,Jets,,,,,,,,
8477484,41,https://assets.nhle.com/mugs/nhl/20242025/CAR/8477484.png,CAR,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,G,3,Spencer,Martin,Hurricanes,,,,,,,,
8482446,30,https://assets.nhle.com/mugs/nhl/20242025/PIT/8482446.png,PIT,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,G,3,Joel,Blomqvist,Penguins,,,,,,,,
