"player_id","season_id","game_type_id"
8448519,19841985,3
8448415,19981999,3
8459670,20132014,3
8473473,20212022,3
8447768,19751976,2
8449903,19761977,2
8451241,19791980,2
8467332,20132014,3
8470601,20132014,3
8471677,20212022,3
8444988,19721973,3
8465026,20032004,3
8448416,19901991,3
8444857,19461947,3
8467580,20052006,3
8460555,20052006,3
8445135,19251926,3
8449959,19701971,3
8469152,20032004,2
8475252,20142015,2
8449131,19691970,2
8451369,19901991,3
8470600,20232024,2
8449924,20062007,3
8449669,19861987,3
8449914,19731974,2
8448372,19351936,3
8462176,20022003,3
8447029,19881989,2
8466317,20022003,3
8445079,19751976,2
8449624,19851986,2
8471392,20122013,3
8449498,19951996,2
8451893,19741975,3
8470609,20082009,3
8481001,20202021,2
8446722,19711972,3
8477967,20202021,2
8448982,19741975,3
8482742,20242025,2
8452449,19881989,3
8446829,19881989,2
8482055,20242025,2
8448382,20002001,2
8447577,19751976,3
8473434,20172018,2
8446353,19881989,3
8458938,19971998,3
8478421,20232024,2
8471750,20142015,3
8475760,20222023,3
8458652,19921993,2
8448087,19221923,3
8445381,19911992,3
8458546,19961997,3
8458229,19971998,3
8447790,19771978,3
8479288,20192020,2
8477992,20212022,2
8460704,20012002,2
8459640,19971998,3
8482126,20232024,2
8456849,19911992,3
8448858,19861987,2
8456667,19791980,3
8477015,20232024,3
8447934,19771978,3
8447897,19761977,2
8448400,19781979,2
8446649,19331934,3
8446085,19931994,3
8449068,19451946,3
8446777,19481949,3
8460612,20102011,3
8480382,20182019,2
8445746,19301931,3
8450505,19811982,3
8467453,20022003,2
8446302,19401941,3
8450566,19761977,3
8474027,20152016,3
8449887,19841985,3
8458468,20002001,3
8451614,19761977,3
8479402,20202021,3
8455805,19941995,3
8449837,19501951,2
8475765,20232024,2
8446480,19911992,2
8447308,19491950,3
8481598,20232024,3
8475287,20132014,3
8452367,19791980,2
8475780,20212022,3
8475181,20142015,3
8469152,20072008,2
8446407,20012002,3
8447293,19771978,2
8474596,20142015,2
8446544,19831984,3
8475780,20192020,3
8446670,19701971,2
8447373,19761977,2
8468508,20152016,3
8448382,20082009,2
8481605,20242025,2
8455710,20092010,3
8464977,20092010,3
8446376,19901991,3
8449675,19801981,3
8446200,19771978,3
8460492,20012002,3
8449602,19771978,3
8446288,19921993,3
8451101,19971998,3
8446582,19361937,3
8445846,19431944,3
8447177,19931994,3
8450900,19891990,3
8459454,19971998,3
8470192,20122013,3
8446494,19901991,3
8471314,20102011,3
8448372,19281929,2
8462041,20022003,3
8447310,19891990,3
8471251,20142015,2
8446774,19771978,2
8449179,19731974,3
8470621,20062007,3
8481568,20242025,2
8448370,19841985,3
8449837,19371938,3
8450107,19811982,3
8460012,20002001,3
8470598,20102011,3
8445032,19571958,3
8471724,20242025,2
8473465,20102011,3
8449988,19671968,2
8446720,19791980,2
8448834,19871988,2
8446445,19861987,3
8480192,20242025,2
8458641,19921993,3
8447127,19591960,2
8448066,19391940,3
8446579,19631964,3
8448769,19951996,3
8451837,19901991,2
8476624,20182019,3
8445252,19751976,3
8476883,20162017,2
8449369,19491950,2
8447106,19731974,2
8449495,19841985,2
8451820,19921993,3
8471311,20072008,3
8475906,20192020,3
8445333,19371938,3
8444984,19721973,2
8448464,19641965,2
8446766,19331934,3
8448669,19931994,3
8447835,19611962,2
8445961,19481949,3
8447145,19671968,3
8445735,19961997,3
8448213,19631964,3
8446513,19641965,3
8449666,19331934,3
8470595,20082009,3
8446712,19911992,3
8476921,20232024,3
8447908,19291930,3
8449861,19361937,3
8470657,20152016,2
8444894,19961997,3
8466147,20052006,3
8449122,19891990,3
8446676,19891990,3
8471187,20092010,3
8481020,20242025,2
8475754,20242025,2
