team_id,season_id
CHI,19911992
CHI,19401941
CHI,20052006
CHI,20222023
CHI,19301931
CHI,20112012
CHI,19551956
CHI,19521953
CHI,19281929
CHI,19261927
CHI,20182019
CHI,19671968
CHI,20202021
CHI,19831984
CHI,19891990
CHI,20142015
CHI,19761977
CHI,20242025
CHI,19731974
CHI,19701971
CHI,19361937
CHI,19491950
CHI,19291930
CHI,19371938
CHI,19391940
CHI,20152016
CHI,19611962
CHI,19601961
CHI,20232024
CHI,19921993
CHI,19961997
CHI,19571958
CHI,19931994
CHI,19821983
CHI,20062007
CHI,19461947
CHI,19741975
CHI,20012002
CHI,19481949
CHI,19941995
CHI,20132014
CHI,19631964
CHI,19561957
CHI,19321933
CHI,20092010
CHI,19351936
CHI,19691970
CHI,19771978
CHI,20032004
CHI,19781979
CHI,19751976
CHI,20072008
CHI,20022003
CHI,19801981
CHI,19711972
CHI,19881989
CHI,19851986
CHI,20002001
CHI,20082009
CHI,19861987
CHI,19431944
CHI,20162017
CLE,19771978
CLE,19761977
CLR,19771978
CLR,19761977
CLR,19781979
CLR,19791980
CLR,19801981
CLR,19811982
COL,20112012
COL,19981999
COL,19961997
COL,19992000
COL,20122013
COL,20062007
COL,20182019
COL,20212022
COL,20172018
COL,20012002
COL,20202021
COL,20132014
COL,20102011
COL,19971998
COL,20192020
COL,20142015
COL,20092010
COL,19951996
COL,20242025
COL,20032004
COL,20072008
COL,20022003
COL,20002001
COL,20082009
COL,20152016
COL,20052006
COL,20232024
COL,20222023
COL,20162017
DAL,20112012
DAL,19981999
DAL,19961997
DAL,19992000
DAL,19931994
DAL,20122013
DAL,20062007
DAL,20182019
DAL,20212022
DAL,20172018
DAL,20012002
DAL,20202021
DAL,19941995
DAL,20132014
DAL,20102011
DAL,19971998
DAL,20192020
DAL,20142015
DAL,20092010
DAL,19951996
DAL,20242025
DAL,20032004
DAL,20072008
DAL,20022003
DAL,20002001
DAL,20082009
DAL,20152016
DAL,20052006
DAL,20232024
DAL,20222023
DAL,20162017
DCG,19291930
DCG,19281929
DCG,19261927
DCG,19271928
DET,19981999
DET,19441945
DET,19341935
DET,19992000
DET,19511952
DET,19871988
DET,20212022
DET,19381939
DET,20172018
DET,19411942
DET,19791980
DET,20102011
DET,19971998
DET,19641965
DET,19331934
DET,19901991
DET,19501951
DET,19531954
DET,19421943
DET,19581959
DET,19651966
DET,19621963
DET,19681969
DET,19541955
DET,19471948
DET,20122013
DET,19591960
DET,19451946
DET,19841985
DET,19661967
DET,20192020
DET,19721973
DET,19951996
DET,19811982
DET,19911992
DET,19401941
DET,20052006
DET,20222023
DET,20112012
DET,19551956
DET,19521953
DET,20182019
DET,19671968
DET,20202021
DET,19831984
DET,19891990
DET,20142015
DET,19761977
DET,20242025
DET,19731974
DET,19701971
DET,19361937
DET,19491950
DET,19371938
DET,19391940
DET,20152016
DET,19611962
DET,19601961
DET,20232024
DET,19921993
DET,19961997
DET,19571958
DET,19931994
DET,19821983
DET,20062007
DET,19461947
DET,19741975
DET,20012002
DET,19481949
DET,19941995
DET,20132014
DET,19631964
DET,19561957
DET,19321933
DET,20092010
DET,19351936
DET,19691970
DET,19771978
DET,20032004
DET,19781979
DET,19751976
DET,20072008
DET,20022003
DET,19801981
