season_id,team_id,game_type
19721973,AFM,2
19731974,AFM,2
19731974,AFM,3
19741975,AFM,2
19751976,AFM,2
19751976,AFM,3
19761977,AFM,3
19761977,AFM,2
19771978,AFM,3
19771978,AFM,2
19781979,AFM,3
19781979,AFM,2
19791980,AFM,2
19791980,AFM,3
19931994,ANA,2
19941995,ANA,2
19951996,ANA,2
19961997,ANA,3
19961997,ANA,2
19971998,ANA,2
19981999,ANA,2
19981999,ANA,3
19992000,ANA,2
20002001,ANA,2
20012002,ANA,2
20022003,ANA,2
20022003,ANA,3
20032004,ANA,2
20052006,ANA,3
20052006,ANA,2
20062007,ANA,3
20062007,ANA,2
20072008,ANA,2
20072008,ANA,3
20082009,ANA,2
20082009,ANA,3
20092010,ANA,2
20102011,ANA,3
20102011,ANA,2
20112012,ANA,2
20122013,ANA,2
20122013,ANA,3
20132014,ANA,3
20132014,ANA,2
20142015,ANA,2
20142015,ANA,3
20152016,ANA,2
20152016,ANA,3
20162017,ANA,3
20162017,ANA,2
20172018,ANA,2
20172018,ANA,3
20182019,ANA,2
20192020,ANA,2
20202021,ANA,2
20212022,ANA,2
20222023,ANA,2
20232024,ANA,2
20242025,ANA,2
20142015,ARI,2
20152016,ARI,2
20162017,ARI,2
20172018,ARI,2
20182019,ARI,2
20192020,ARI,2
20192020,ARI,3
20202021,ARI,2
20212022,ARI,2
20222023,ARI,2
20232024,ARI,2
19992000,ATL,2
20002001,ATL,2
20012002,ATL,2
20022003,ATL,2
20032004,ATL,2
20052006,ATL,2
20062007,ATL,3
20062007,ATL,2
20072008,ATL,2
20082009,ATL,2
20092010,ATL,2
20102011,ATL,2
19241925,BOS,2
19251926,BOS,2
19261927,BOS,2
19261927,BOS,3
19271928,BOS,2
19271928,BOS,3
19281929,BOS,2
19281929,BOS,3
19291930,BOS,2
19291930,BOS,3
19301931,BOS,3
19301931,BOS,2
19311932,BOS,2
19321933,BOS,2
19321933,BOS,3
19331934,BOS,2
19341935,BOS,2
19341935,BOS,3
19351936,BOS,2
19351936,BOS,3
19361937,BOS,3
19361937,BOS,2
19371938,BOS,3
19371938,BOS,2
19381939,BOS,2
19381939,BOS,3
19391940,BOS,2
19391940,BOS,3
19401941,BOS,2
19401941,BOS,3
19411942,BOS,2
19411942,BOS,3
19421943,BOS,3
19421943,BOS,2
19431944,BOS,2
19441945,BOS,3
19441945,BOS,2
19451946,BOS,3
19451946,BOS,2
19461947,BOS,2
19461947,BOS,3
19471948,BOS,2
